2015-07-09,73,MCWANE SCIENCE CENTER,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=16682&InspNbr=48,16682,48
2015-07-13,83,MAKI FRESH,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=20736&InspNbr=14,20736,14
2015-07-15,68,BIRMINGHAM CITY JAIL,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=1189&InspNbr=29,1189,29
2015-07-15,76,PIZZA HUT #1107,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=8646&InspNbr=38,8646,38
2015-07-13,80,ANGEL SMKT DBA SALAMONE GROC,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=7792&InspNbr=38,7792,38
2015-07-13,83,NANCYS DINER,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=11220&InspNbr=36,11220,36
2015-07-17,83,CHILD ENRICHMENT CENTER,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=10407&InspNbr=34,10407,34
2015-07-15,78,HOLIDAY INN-HOMEWOOD KEMS RESTAURANT,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=21264&InspNbr=2,21264,2
2015-07-16,80,ZAXBYS,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=18892&InspNbr=29,18892,29
2015-07-16,72,TENTH AVENUE DELI,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=16658&InspNbr=36,16658,36
2015-07-22,84,CHILIS GRILL & BAR # 701,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=14758&InspNbr=38,14758,38
2015-07-23,71,SALVATORES PIZZA & PASTA,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=19869&InspNbr=25,19869,25
2015-07-23,68,LISAS KITCHEN,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=19526&InspNbr=17,19526,17
2015-07-27,78,LISAS KITCHEN,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=19526&InspNbr=18,19526,18
2015-07-29,79,WINEWOOD SHELL,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=20054&InspNbr=6,20054,6
2015-07-31,76,BRITOS SUPERMARKET #3 - BAKERY,http://www.jcdh.org/EH/FnL/FnL04.aspx?PermitNbr=20242&InspNbr=10,20242,10
